x,y,theta,time
-0.599981784821,-0.390022218227,1.600352369971,0.000000000000
-0.600000023842,-0.390004634857,1.600000060627,0.025000000000
-0.600001513958,-0.390023261309,1.600084089695,0.050000000000
-0.599988996983,-0.389941424131,1.599797338356,0.075000000000
-0.599974215031,-0.389704316854,1.599040890478,0.100000000000
-0.600004255772,-0.389126598835,1.598237519302,0.125000000000
-0.600163578987,-0.387573271990,1.595528882228,0.150000000000
-0.600355327129,-0.385156720877,1.593251877289,0.175000000000
-0.600431323051,-0.381455659866,1.587052181420,0.200000000000
-0.600361883640,-0.377033978701,1.581014768573,0.225000000000
-0.600167691708,-0.371966034174,1.576504217339,0.250000000000
-0.599924385548,-0.366762667894,1.574324213743,0.275000000000
-0.599655508995,-0.361331194639,1.572223023965,0.300000000000
-0.599386930466,-0.355966567993,1.570664302523,0.325000000000
-0.599112808704,-0.350483149290,1.568732157090,0.350000000000
-0.598845362663,-0.345110982656,1.567435989958,0.375000000000
-0.598575055599,-0.339638233185,1.565939781389,0.400000000000
-0.598311007023,-0.334281951189,1.564888935253,0.425000000000
-0.598043322563,-0.328826099634,1.563579750513,0.450000000000
-0.597781538963,-0.323486149311,1.562707471473,0.475000000000
-0.597515285015,-0.318045437336,1.561578934390,0.500000000000
-0.597254812717,-0.312719196081,1.560792355676,0.525000000000
-0.596990048885,-0.307291716337,1.559821641224,0.550000000000
-0.596731305122,-0.301977336407,1.559090542700,0.575000000000
-0.596468389034,-0.296561270952,1.558235449725,0.600000000000
-0.596211969852,-0.291259080172,1.557603409673,0.625000000000
-0.595950424671,-0.285856783390,1.556773695296,0.650000000000
-0.595694601536,-0.280567735434,1.556154163152,0.675000000000
-0.595433413982,-0.275176942348,1.555423923978,0.700000000000
-0.595178067684,-0.269898861647,1.554905179189,0.725000000000
-0.594917833805,-0.264519691467,1.554275493822,0.750000000000
-0.594663202763,-0.259253621101,1.553817249452,0.775000000000
-0.594403982162,-0.253887534142,1.553231725013,0.800000000000
-0.594150424004,-0.248634681106,1.552801430024,0.825000000000
-0.593892157078,-0.243281424046,1.552266806229,0.850000000000
-0.593639373779,-0.238040149212,1.551937911245,0.875000000000
-0.593382060528,-0.232698321342,1.551409179451,0.900000000000
-0.593130528927,-0.227468475699,1.551031331758,0.925000000000
-0.592874288559,-0.222137957811,1.550510044370,0.950000000000
-0.592623651028,-0.216919243336,1.550199141951,0.975000000000
-0.592367947102,-0.211600080132,1.549744735267,1.000000000000
-0.592118084431,-0.206392496824,1.549422801011,1.025000000000
-0.591863393784,-0.201085001230,1.548966119677,1.050000000000
-0.591614544392,-0.195888891816,1.548623074972,1.075000000000
-0.591360986233,-0.190592959523,1.548306791483,1.100000000000
-0.591113030910,-0.185408115387,1.548074213265,1.125000000000
-0.590859949589,-0.180123493075,1.547753158532,1.150000000000
-0.590612113476,-0.174949988723,1.547529464565,1.175000000000
-0.590358555317,-0.169677332044,1.547187835207,1.200000000000
-0.590109825134,-0.164515733719,1.547011712254,1.225000000000
-0.589855551720,-0.159254804254,1.546744668320,1.250000000000
-0.589606404305,-0.154104098678,1.546549583657,1.275000000000
-0.589352309704,-0.148853778839,1.546265900494,1.300000000000
-0.589104413986,-0.143713593483,1.546131511643,1.325000000000
-0.588851988316,-0.138474047184,1.545826242010,1.350000000000
-0.588605403900,-0.133344396949,1.545645583145,1.375000000000
-0.588353693485,-0.128115862608,1.545389859322,1.400000000000
-0.588107287884,-0.122996956110,1.545265479362,1.425000000000
-0.587855935097,-0.117778956890,1.545010291845,1.450000000000
-0.587609708309,-0.112670697272,1.544842031293,1.475000000000
-0.587358236313,-0.107464089990,1.544671083225,1.500000000000
-0.587112426758,-0.102366939187,1.544531978066,1.525000000000
-0.586861729622,-0.097171001136,1.544339093650,1.550000000000
-0.586616396904,-0.092084199190,1.544223116459,1.575000000000
-0.586365520954,-0.086899310350,1.544041912010,1.600000000000
-0.586120367050,-0.081823423505,1.543953730897,1.625000000000
-0.585870206356,-0.076648995280,1.543723988967,1.650000000000
-0.585625767708,-0.071583077312,1.543604261200,1.675000000000
-0.585376143456,-0.066418804228,1.543437723830,1.700000000000
-0.585131466389,-0.061363093555,1.543330271668,1.725000000000
-0.584881186485,-0.056209266186,1.543180309580,1.750000000000
-0.584636390209,-0.051164291799,1.543093138288,1.775000000000
-0.584386050701,-0.046021971852,1.542938163088,1.800000000000
-0.584141373634,-0.040987942368,1.542869293311,1.825000000000
-0.583891630173,-0.035855859518,1.542764705984,1.850000000000
-0.583647489548,-0.030831556767,1.542705552957,1.875000000000
-0.583397805691,-0.025709815323,1.542565545974,1.900000000000
-0.583153903484,-0.020695719868,1.542486421565,1.925000000000
-0.582904636860,-0.015583704226,1.542374497374,1.950000000000
-0.582660853863,-0.010578968562,1.542310039967,1.975000000000
-0.582411706448,-0.005476854742,1.542207297950,2.000000000000
-0.582167863846,-0.000481713709,1.542119047570,2.025000000000
-0.581918120384,0.004610769916,1.541994179079,2.050000000000
-0.581673264503,0.009595940821,1.541911776120,2.075000000000
-0.581422150135,0.014678189531,1.541813386858,2.100000000000
-0.581176102161,0.019653961062,1.541799550570,2.125000000000
-0.580924928188,0.024727301672,1.541700684663,2.150000000000
-0.580679297447,0.029694244266,1.541663598526,2.175000000000
-0.580428719521,0.034758154303,1.541578684615,2.200000000000
-0.580183982849,0.039715029299,1.541568249549,2.225000000000
-0.579934000969,0.044768311083,1.541508558530,2.250000000000
-0.579689383507,0.049715075642,1.541468726543,2.275000000000
-0.579438626766,0.054758157581,1.541381306809,2.300000000000
