EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta,counter
-0.503088,0.151652,1.52367,-0.503088,0.151653,1.52367,0.0139117,0.115742,-0.0633268,27.3426,0.000999999,6.31591e-23,1.35073e-14,5.19431e-23,0.000999999,-1.30734e-14,1.3507e-14,-1.30722e-14,0.000999999,0
-0.497511,0.152188,1.49772,-0.492186,0.152709,1.47292,0.0195886,0.116308,-0.0892845,26.1687,0.000512195,-2.14461e-14,3.01121e-09,-2.14461e-14,0.000512195,-3.30874e-09,3.01121e-09,-3.30874e-09,0.000512195,0
-0.495336,0.152272,1.48677,-0.491514,0.152427,1.46702,0.0217639,0.116392,-0.100229,26.1175,0.000359875,2.12993e-14,1.64045e-09,2.12993e-14,0.000359875,4.2098e-09,1.64045e-09,4.2098e-09,0.000359875,0
-0.494121,0.152278,1.48035,-0.491158,0.152293,1.46467,0.0229785,0.116398,-0.106655,26.0577,0.000290717,8.25108e-15,8.2528e-10,8.25108e-15,0.000290717,2.11787e-09,8.2528e-10,2.11787e-09,0.000290717,0
-0.493344,0.152249,1.476,-0.491061,0.152164,1.46326,0.0237561,0.116369,-0.110997,26.0609,0.000254131,3.865e-15,4.59121e-10,3.865e-15,0.000254131,1.17822e-09,4.59121e-10,1.17822e-09,0.000254131,0
-0.492784,0.152228,1.47281,-0.490942,0.152159,1.46232,0.0243163,0.116348,-0.114187,26.0805,0.000233206,2.02863e-15,2.69951e-10,2.02863e-15,0.000233206,6.92761e-10,2.69951e-10,6.92761e-10,0.000233206,0
-0.49235,0.152226,1.47038,-0.490821,0.152217,1.46177,0.0247496,0.116346,-0.116624,26.0992,0.000220702,1.14349e-15,1.63943e-10,1.14349e-15,0.000220702,4.20718e-10,1.63943e-10,4.20718e-10,0.000220702,0
-0.492026,0.152178,1.46845,-0.490774,0.152045,1.46106,0.025074,0.116298,-0.118546,26.0829,0.000213033,-1.75473e-14,1.72751e-09,-1.75473e-14,0.000213033,-1.72948e-09,1.72751e-09,-1.72948e-09,0.000213033,0
-0.49177,0.152149,1.46677,-0.490742,0.152083,1.46067,0.0253299,0.116269,-0.120231,26.0656,0.000208255,-5.25519e-14,2.66746e-09,-5.25519e-14,0.000208255,-3.03173e-09,2.66746e-09,-3.03173e-09,0.000208255,0
-0.491546,0.152138,1.46551,-0.490726,0.152153,1.46035,0.0255536,0.116258,-0.121486,26.0856,0.000205249,-1.68332e-14,3.60562e-09,-1.68332e-14,0.000205249,-3.57063e-10,3.60562e-09,-3.57063e-10,0.000205249,0
-0.491383,0.152118,1.46452,-0.490697,0.151981,1.4603,0.0257169,0.116238,-0.122483,26.0492,0.000203345,-1.10627e-14,3.84282e-10,-1.10627e-14,0.000203345,-1.76697e-09,3.84282e-10,-1.76697e-09,0.000203345,0
-0.491226,0.152119,1.4637,-0.490663,0.152075,1.46014,0.0258742,0.116249,-0.123304,26.056,0.000202135,-1.13065e-14,-1.28419e-09,-1.13065e-14,0.000202135,7.68829e-10,-1.28419e-09,7.68829e-10,0.000202135,0
-0.491129,0.152086,1.46298,-0.490685,0.152003,1.45984,0.0259713,0.116216,-0.125017,26.0458,0.000201364,-1.04746e-14,7.02031e-10,-1.04746e-14,0.000201364,-1.39691e-09,7.02031e-10,-1.39691e-09,0.000201364,0
-0.49103,0.152066,1.46229,-0.490636,0.151989,1.45952,0.0260703,0.116196,-0.125713,26.0527,0.000200872,-6.18869e-15,4.48321e-10,-6.18869e-15,0.000200872,-8.92072e-10,4.48321e-10,-8.92072e-10,0.000200872,0
-0.490939,0.152029,1.46178,-0.490623,0.15194,1.45944,0.0261612,0.116159,-0.126219,26.0469,0.000200558,1.06686e-14,2.16793e-09,1.06686e-14,0.000200558,9.41882e-10,2.16793e-09,9.41882e-10,0.000200558,0
-0.490873,0.152038,1.46133,-0.490611,0.152075,1.45954,0.0262269,0.116178,-0.126668,26.062,0.000200357,5.77772e-15,1.38624e-09,5.77772e-15,0.000200357,6.02267e-10,1.38624e-09,6.02267e-10,0.000200357,0
-0.490839,0.152048,1.46102,-0.490644,0.152132,1.45944,0.026261,0.116188,-0.126984,26.0713,0.000200228,-2.24143e-14,2.39427e-09,-2.24143e-14,0.000200228,-1.49434e-09,2.39427e-09,-1.49434e-09,0.000200228,0
-0.490787,0.152018,1.46063,-0.49058,0.151899,1.45909,0.0263129,0.116168,-0.12737,26.0445,0.000200146,-1.2509e-14,1.53177e-09,-1.2509e-14,0.000200146,-9.56028e-10,1.53177e-09,-9.56028e-10,0.000200146,0
-0.49074,0.151979,1.46029,-0.490551,0.151822,1.45895,0.0263602,0.116129,-0.127707,26.0286,0.000200093,-7.25439e-15,9.80106e-10,-7.25439e-15,0.000200093,-6.11715e-10,9.80106e-10,-6.11715e-10,0.000200093,0
-0.490694,0.151997,1.46003,-0.490512,0.15207,1.45896,0.0264059,0.116147,-0.127974,26.0745,0.00020006,-4.33522e-15,6.27174e-10,-4.33522e-15,0.00020006,-3.91439e-10,6.27174e-10,-3.91439e-10,0.00020006,0
-0.490677,0.151964,1.45986,-0.490552,0.151878,1.45886,0.0264226,0.116114,-0.128144,26.0496,0.000200038,-2.86118e-14,1.90496e-09,-2.86118e-14,0.000200038,-2.13014e-09,1.90496e-09,-2.13014e-09,0.000200038,0
-0.49065,0.151944,1.45964,-0.490541,0.151863,1.45877,0.0264498,0.116104,-0.128361,26.0311,0.000200025,-1.6233e-14,1.2191e-09,-1.6233e-14,0.000200025,-1.36321e-09,1.2191e-09,-1.36321e-09,0.000200025,0
-0.490643,0.151913,1.45954,-0.490555,0.151839,1.45882,0.0264571,0.116073,-0.128461,26.0366,0.000200016,-4.63026e-14,2.2829e-09,-4.63026e-14,0.000200016,-2.75242e-09,2.2829e-09,-2.75242e-09,0.000200016,0
-0.490628,0.151902,1.45941,-0.490569,0.151858,1.4589,0.0264718,0.116072,-0.128589,26.0148,0.00020001,-2.64159e-14,1.46102e-09,-2.64159e-14,0.00020001,-1.7615e-09,1.46102e-09,-1.7615e-09,0.00020001,0
-0.49061,0.151901,1.45929,-0.490539,0.151895,1.45881,0.0264896,0.116071,-0.128708,26.0518,0.000200006,-1.55883e-14,9.35035e-10,-1.55883e-14,0.000200006,-1.12734e-09,9.35035e-10,-1.12734e-09,0.000200006,0
-0.490604,0.151892,1.4592,-0.490581,0.151859,1.45882,0.0264955,0.116062,-0.128803,26.0138,0.000200004,-9.4367e-15,5.98416e-10,-9.4367e-15,0.000200004,-7.21492e-10,5.98416e-10,-7.21492e-10,0.000200004,0
-0.490598,0.151873,1.45918,-0.490573,0.151793,1.45911,0.0265019,0.116053,-0.12882,26.0414,0.000200003,-5.81839e-15,3.82984e-10,-5.81839e-15,0.000200003,-4.61752e-10,3.82984e-10,-4.61752e-10,0.000200003,0
-0.490619,0.151876,1.45929,-0.490595,0.151878,1.45912,0.0264814,0.116056,-0.128705,26.005,0.000200002,6.28455e-17,-1.33443e-10,6.28455e-17,0.000200002,-3.67782e-09,-1.33443e-10,-3.67782e-09,0.000200002,0
-0.490608,0.151872,1.45921,-0.490564,0.151855,1.45889,0.0264922,0.116052,-0.128787,26.0093,0.000200001,-2.11058e-16,-8.54034e-11,-2.11058e-16,0.000200001,-2.3538e-09,-8.54034e-11,-2.3538e-09,0.000200001,0
-0.490597,0.151846,1.45924,-0.4906,0.151803,1.45903,0.0265032,0.116026,-0.128759,26.0101,0.000200001,-8.34052e-16,1.82583e-09,-8.34052e-16,0.000200001,-4.64932e-12,1.82583e-09,-4.64932e-12,0.000200001,0
-0.490588,0.151849,1.45915,-0.490552,0.151862,1.45877,0.0265121,0.116039,-0.128854,26.0493,0.0002,-5.29447e-16,1.16853e-09,-5.29447e-16,0.0002,-2.97556e-12,1.16853e-09,-2.97556e-12,0.0002,0
-0.490593,0.151848,1.45916,-0.490555,0.151888,1.4589,0.026607,0.116038,-0.12884,26.0244,0.0002,-2.81177e-14,2.24951e-09,-2.81177e-14,0.0002,-1.88249e-09,2.24951e-09,-1.88249e-09,0.0002,0
-0.491462,0.134282,1.46247,-0.494938,0.0640208,1.47572,0.025738,0.0984724,-0.125528,1.91235,0.0002,-1.58272e-14,1.43969e-09,-1.58272e-14,0.0002,-1.20479e-09,1.43969e-09,-1.20479e-09,0.0002,131
-0.49226,0.11997,1.46614,-0.495451,0.0627203,1.48079,0.0249402,0.08416,-0.121864,1.65341,0.0002,-9.24133e-15,9.21399e-10,-9.24133e-15,0.0002,-7.71067e-10,9.21399e-10,-7.71067e-10,0.0002,131
-0.492967,0.108265,1.47018,-0.495844,0.0615058,1.48539,0.0242329,0.0724655,-0.117823,1.45989,0.0002,1.28476e-14,2.4595e-09,1.28476e-14,0.0002,1.02157e-09,2.4595e-09,1.02157e-09,0.0002,131
-0.493619,0.0987064,1.474,-0.496226,0.06047,1.4893,0.0235811,0.0629064,-0.113999,1.25517,0.0002,6.93606e-15,1.57408e-09,6.93606e-15,0.0002,6.53806e-10,1.57408e-09,6.53806e-10,0.0002,131
-0.494207,0.0908898,1.47773,-0.49656,0.0596235,1.49266,0.0229929,0.0550998,-0.110267,1.10555,0.0002,3.91216e-15,1.00741e-09,3.91216e-15,0.0002,4.18436e-10,1.00741e-09,4.18436e-10,0.0002,131
-0.494728,0.0844642,1.48133,-0.496809,0.058762,1.49571,0.0224725,0.0486742,-0.10667,0.988461,0.0002,2.28795e-15,6.44742e-10,2.28795e-15,0.0002,2.67799e-10,6.44742e-10,2.67799e-10,0.0002,131
-0.4952,0.0791742,1.48483,-0.497042,0.0579567,1.49849,0.0219999,0.0433842,-0.103174,0.879909,0.0002,1.3821e-14,-1.43417e-09,1.3821e-14,0.0002,-1.3716e-09,-1.43417e-09,-1.3716e-09,0.0002,130
-0.495615,0.0747864,1.48812,-0.497325,0.0572925,1.50096,0.0215846,0.0389964,-0.0998836,0.782912,0.0002,6.6211e-15,9.23532e-10,6.6211e-15,0.0002,6.71615e-10,9.23532e-10,6.71615e-10,0.0002,130
-0.495994,0.071156,1.49112,-0.497509,0.0566344,1.50313,0.0212059,0.035376,-0.0968816,0.692821,0.0002,3.91993e-15,5.91061e-10,3.91993e-15,0.0002,4.29834e-10,5.91061e-10,4.29834e-10,0.0002,130
-0.496338,0.0681166,1.49398,-0.497657,0.0560078,1.50512,0.0208618,0.0323366,-0.094017,0.610021,0.0002,-1.81133e-14,1.93928e-09,-1.81133e-14,0.0002,-1.55652e-09,1.93928e-09,-1.55652e-09,0.0002,130
-0.496633,0.0655851,1.49659,-0.497813,0.055459,1.50703,0.0205668,0.0298051,-0.0914074,0.560257,0.0002,-1.0047e-14,1.24114e-09,-1.0047e-14,0.0002,-9.96175e-10,1.24114e-09,-9.96175e-10,0.0002,130
-0.496905,0.0634494,1.49901,-0.49799,0.0549069,1.50867,0.0202954,0.0276694,-0.0889924,0.501143,0.0002,-5.79708e-15,7.94328e-10,-5.79708e-15,0.0002,-6.37552e-10,7.94328e-10,-6.37552e-10,0.0002,130
-0.497144,0.0616436,1.50122,-0.498102,0.0544201,1.51009,0.0200559,0.0258636,-0.0867763,0.44306,0.0002,-3.45084e-15,5.0837e-10,-3.45084e-15,0.0002,-4.08033e-10,5.0837e-10,-4.08033e-10,0.0002,130
