EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.675145,-0.31273,1.61711,-0.675145,-0.31273,1.61711,-0.000713105,0.00870447,0.0234856,0.92853,0.000999999,-2.29378e-23,-5.3154e-14,-1.82599e-23,0.000999999,-1.19969e-15,-5.31571e-14,-1.19959e-15,0.000999999
-0.674993,-0.313172,1.61777,-0.674848,-0.313593,1.6184,-0.000561055,0.00826259,0.0241475,0.970989,0.000512195,-5.46553e-24,-1.26482e-14,-4.35241e-24,0.000512195,-2.85471e-16,-1.26489e-14,-2.85447e-16,0.000512195
-0.674919,-0.31337,1.6181,-0.674788,-0.313723,1.61868,-0.000261382,0.00844117,0.0203157,0.957566,0.000359875,-2.2405e-24,-5.18272e-15,-1.78439e-24,0.000359875,-1.16975e-16,-5.18303e-15,-1.16965e-16,0.000359875
-0.673216,-0.314226,1.61603,-0.66906,-0.316315,1.61099,0.00144192,0.00758502,0.0182496,0.58226,0.000290717,-1.12737e-24,-2.60733e-15,-8.97912e-25,0.000290717,-5.88479e-17,-2.60749e-15,-5.88429e-17,0.000290717
-0.672169,-0.314774,1.61478,-0.669097,-0.31638,1.61113,0.00248936,0.00708289,0.0166244,0.588971,0.000254131,-6.27245e-25,-1.45052e-15,-4.99591e-25,0.000254131,-3.27383e-17,-1.4506e-15,-3.27356e-17,0.000254131
-0.671455,-0.315159,1.61395,-0.669108,-0.316425,1.6112,0.00320325,0.00669777,0.0157897,0.588971,0.000233206,-3.68825e-25,-8.52865e-16,-2.93768e-25,0.000233206,-1.92493e-17,-8.52915e-16,-1.92476e-17,0.000233206
-0.670927,-0.315445,1.61336,-0.669061,-0.316454,1.61127,0.00373171,0.00641191,0.0151979,0.58226,0.000220702,-2.23997e-25,-5.1795e-16,-1.78415e-25,0.000220702,-1.16902e-17,-5.1798e-16,-1.16892e-17,0.000220702
-0.67051,-0.315661,1.61293,-0.668973,-0.316458,1.61133,0.00417192,0.00618,0.0147665,0.588971,0.000213033,-1.38728e-25,-3.20775e-16,-1.10498e-25,0.000213033,-7.23994e-18,-3.20794e-16,-7.23932e-18,0.000213033
-0.670182,-0.315829,1.6126,-0.668932,-0.316467,1.61135,0.0045007,0.0060121,0.0144372,0.588971,0.000208255,-8.69643e-26,-2.01081e-16,-6.9268e-26,0.000208255,-4.53843e-18,-2.01093e-16,-4.53804e-18,0.000208255
-0.670592,-0.315489,1.61384,-0.67218,-0.314176,1.61864,0.00387904,0.00605062,0.0191277,0.680036,0.000205249,-5.49297e-26,-1.27009e-16,-4.37522e-26,0.000205249,-2.8666e-18,-1.27016e-16,-2.86636e-18,0.000205249
-0.670922,-0.315223,1.61482,-0.672214,-0.314178,1.61867,0.00354916,0.00631727,0.0201104,0.680036,0.000203345,-3.48618e-26,-8.06072e-17,-2.77679e-26,0.000203345,-1.81932e-18,-8.0612e-17,-1.81916e-18,0.000203345
-0.671192,-0.315012,1.61559,-0.67226,-0.314182,1.61863,0.00327867,0.00652761,0.0208813,0.680036,0.000202135,-2.21927e-26,-5.13136e-17,-1.76768e-26,0.000202135,-1.15816e-18,-5.13166e-17,-1.15806e-18,0.000202135
-0.671415,-0.314845,1.6162,-0.672301,-0.314181,1.61861,0.00323619,0.00683306,0.0194293,0.677645,0.000201364,-1.4155e-26,-3.27288e-17,-1.12746e-26,0.000201364,-7.38694e-19,-3.27307e-17,-7.38631e-19,0.000201364
-0.6716,-0.314718,1.61666,-0.672333,-0.314216,1.61847,0.00305189,0.00695947,0.0198858,0.653863,0.000200872,-9.03945e-27,-2.09008e-17,-7.20005e-27,0.000200872,-4.71734e-19,-2.0902e-17,-4.71694e-19,0.000200872
-0.671988,-0.314668,1.61681,-0.673535,-0.314464,1.61744,0.00272585,0.00711856,0.0188238,0.674142,0.000200558,-5.77719e-27,-1.33579e-17,-4.60162e-27,0.000200558,-3.01489e-19,-1.33586e-17,-3.01463e-19,0.000200558
-0.672298,-0.31463,1.61692,-0.673537,-0.31448,1.61736,0.00241552,0.00715622,0.018934,0.654962,0.000200357,-3.6941e-27,-8.54141e-18,-2.94241e-27,0.000200357,-1.92781e-19,-8.54191e-18,-1.92764e-19,0.000200357
-0.672543,-0.314608,1.61699,-0.673522,-0.314522,1.61724,0.00217047,0.00717773,0.0189971,0.648296,0.000200228,-2.36288e-27,-5.46338e-18,-1.88207e-27,0.000200228,-1.23309e-19,-5.4637e-18,-1.23299e-19,0.000200228
-0.672742,-0.314576,1.61706,-0.673538,-0.314449,1.61738,0.00179646,0.00690534,0.0224149,0.660808,0.000200146,-1.51169e-27,-3.49529e-18,-1.20408e-27,0.000200146,-7.88891e-20,-3.49549e-18,-7.88824e-20,0.000200146
-0.672898,-0.314564,1.61709,-0.673521,-0.314512,1.61721,0.00164077,0.0069182,0.0224445,0.648296,0.000200093,-9.67256e-28,-2.23646e-18,-7.70434e-28,0.000200093,-5.04772e-20,-2.23659e-18,-5.0473e-20,0.000200093
-0.673024,-0.314555,1.61711,-0.673525,-0.314518,1.61715,0.00152161,0.00687421,0.0227762,0.648296,0.00020006,-6.18951e-28,-1.43112e-18,-4.93004e-28,0.00020006,-3.23006e-20,-1.43121e-18,-3.22979e-20,0.00020006
-0.672458,-0.314279,1.61659,-0.670194,-0.313179,1.61452,0.0020876,0.00714936,0.0222596,0.566749,0.000200038,-3.96091e-28,-9.1583e-19,-3.15492e-28,0.000200038,-2.06704e-20,-9.15884e-19,-2.06687e-20,0.000200038
-0.671989,-0.314053,1.61617,-0.670116,-0.313147,1.61451,0.00255597,0.00737591,0.0218438,0.572709,0.000200025,-2.53483e-28,-5.86095e-19,-2.01903e-28,0.000200025,-1.32283e-20,-5.8613e-19,-1.32271e-20,0.000200025
-0.671603,-0.313866,1.61582,-0.670056,-0.313118,1.61439,0.00316317,0.00783541,0.0180974,0.562432,0.000200016,-1.62223e-28,-3.75086e-19,-1.29213e-28,0.000200016,-8.46575e-21,-3.75108e-19,-8.46503e-21,0.000200016
-0.671284,-0.313708,1.61552,-0.670012,-0.313075,1.61433,0.00348126,0.00799364,0.0178001,0.562432,0.00020001,-1.0382e-28,-2.40049e-19,-8.26941e-29,0.00020001,-5.41794e-21,-2.40063e-19,-5.41748e-21,0.00020001
-0.671023,-0.313574,1.61526,-0.669975,-0.313042,1.61424,0.00376664,0.00815363,0.0173142,0.555675,0.000200006,-6.64436e-29,-1.53629e-19,-5.29234e-29,0.000200006,-3.46743e-21,-1.53638e-19,-3.46713e-21,0.000200006
-0.671574,-0.313952,1.61641,-0.673779,-0.315464,1.62099,0.00321525,0.00777564,0.0184587,1.12544,0.000200004,-4.25235e-29,-9.83215e-20,-3.38706e-29,0.000200004,-2.21913e-21,-9.83273e-20,-2.21894e-21,0.000200004
-0.672008,-0.314277,1.61736,-0.673743,-0.315574,1.62117,0.00247758,0.00710665,0.0237517,1.12544,0.000200003,-2.72148e-29,-6.29254e-20,-2.1677e-29,0.000200003,-1.42023e-21,-6.29291e-20,-1.42011e-21,0.000200003
-0.672348,-0.314552,1.61815,-0.673708,-0.315654,1.62131,0.00213756,0.00683115,0.0245412,1.13512,0.000200002,-1.74174e-29,-4.02721e-20,-1.38733e-29,0.000200002,-9.08946e-22,-4.02744e-20,-9.08869e-22,0.000200002
-0.672618,-0.31478,1.6188,-0.6737,-0.315691,1.62137,0.00186713,0.00660337,0.0251854,1.13512,0.000200001,-1.11471e-29,-2.57741e-20,-8.87886e-30,0.000200001,-5.81724e-22,-2.57756e-20,-5.81675e-22,0.000200001
-0.67283,-0.314969,1.61933,-0.673678,-0.315727,1.62145,0.00167179,0.00651413,0.0250656,1.12196,0.000200001,-7.13415e-30,-1.64954e-20,-5.68246e-30,0.000200001,-3.72303e-22,-1.64963e-20,-3.72271e-22,0.000200001
-0.672995,-0.315131,1.61975,-0.673651,-0.315777,1.62146,0.00150759,0.00635255,0.0254919,1.12306,0.0002,-4.56585e-30,-1.0557e-20,-3.63677e-30,0.0002,-2.38273e-22,-1.05576e-20,-2.38253e-22,0.0002
-0.67256,-0.314662,1.62472,-0.670824,-0.312784,1.6446,0.00190405,0.00687315,0.0303714,0.463244,0.0002,-2.92214e-30,-6.75649e-21,-2.32753e-30,0.0002,-1.52495e-22,-6.75689e-21,-1.52482e-22,0.0002
