EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta,counter
-0.659791,-0.384907,1.57371,-0.659791,-0.384907,1.57371,0.00171181,0.00980719,0.0230376,0.639502,0.000999999,0,0,0,0.000999999,0,0,0,0.000999999,22
-0.659624,-0.385116,1.57415,-0.659466,-0.385314,1.57458,0.00183206,0.00959192,0.0235051,0.640985,0.000512195,0,0,0,0.000512195,0,0,0,0.000512195,22
-0.659541,-0.385219,1.57437,-0.659393,-0.385401,1.57476,0.00191541,0.00948908,0.0237231,0.639028,0.000359875,0,0,0,0.000359875,0,0,0,0.000359875,22
-0.659503,-0.385286,1.5745,-0.659409,-0.385451,1.57481,0.0019206,0.00944843,0.0238508,0.639028,0.000290717,0,0,0,0.000290717,0,0,0,0.000290717,22
-0.659323,-0.385581,1.5727,-0.658798,-0.386448,1.56741,0.00209978,0.00915325,0.0220487,0.707461,0.000254131,0,0,0,0.000254131,0,0,0,0.000254131,23
-0.659211,-0.385774,1.57144,-0.65884,-0.386406,1.56731,0.00219199,0.00899699,0.0207627,0.696823,0.000233206,0,0,0,0.000233206,0,0,0,0.000233206,23
-0.659136,-0.385904,1.57052,-0.658873,-0.386365,1.56727,0.00226647,0.00886655,0.019843,0.687604,0.000220702,0,0,0,0.000220702,0,0,0,0.000220702,23
-0.659081,-0.386,1.56983,-0.658878,-0.386355,1.56726,0.0023214,0.00877043,0.0191469,0.698242,0.000213033,0,0,0,0.000213033,0,0,0,0.000213033,23
-0.659037,-0.386066,1.56928,-0.658868,-0.386317,1.56719,0.00235019,0.00872446,0.0185688,0.687604,0.000208255,0,0,0,0.000208255,0,0,0,0.000208255,23
-0.659116,-0.386135,1.56984,-0.659424,-0.386399,1.57203,0.00227067,0.00865619,0.0191329,0.974646,0.000205249,0,0,0,0.000205249,0,0,0,0.000205249,20
-0.65917,-0.386204,1.57033,-0.659378,-0.386477,1.57223,0.00221753,0.00858665,0.0196188,0.974646,0.000203345,0,0,0,0.000203345,0,0,0,0.000203345,20
