EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta
-0.675127,-0.313222,1.61704,-0.675127,-0.313222,1.61704,-0.000695792,0.00821259,0.023424,0.921818,0.000999999,-2.29378e-23,-5.3154e-14,-1.82599e-23,0.000999999,-1.19969e-15,-5.31571e-14,-1.19959e-15,0.000999999
-0.674982,-0.313653,1.61775,-0.674844,-0.314064,1.61841,-0.000550615,0.00778108,0.024126,0.960135,0.000512195,-5.46553e-24,-1.26482e-14,-4.35241e-24,0.000512195,-2.85471e-16,-1.26489e-14,-2.85447e-16,0.000512195
-0.674906,-0.313855,1.61807,-0.67477,-0.314215,1.61865,-0.000248171,0.00795603,0.0202906,0.957566,0.000359875,-2.2405e-24,-5.18272e-15,-1.78439e-24,0.000359875,-1.16975e-16,-5.18303e-15,-1.16965e-16,0.000359875
-0.673195,-0.314713,1.616,-0.669022,-0.316806,1.61095,0.00146242,0.00709817,0.0182213,0.58226,0.000290717,-1.12737e-24,-2.60733e-15,-8.97912e-25,0.000290717,-5.88479e-17,-2.60749e-15,-5.88429e-17,0.000290717
-0.672153,-0.31526,1.61476,-0.669092,-0.316866,1.6111,0.00250578,0.00659628,0.0165968,0.588971,0.000254131,-6.27245e-25,-1.45052e-15,-4.99591e-25,0.000254131,-3.27383e-17,-1.4506e-15,-3.27356e-17,0.000254131
-0.671439,-0.315646,1.61392,-0.669091,-0.316912,1.61118,0.00321967,0.00621116,0.0157624,0.588971,0.000233206,-3.68825e-25,-8.52865e-16,-2.93768e-25,0.000233206,-1.92493e-17,-8.52915e-16,-1.92476e-17,0.000233206
-0.67091,-0.315932,1.61334,-0.669044,-0.316942,1.61127,0.00374813,0.00592512,0.015177,0.588971,0.000220702,-2.23997e-25,-5.1795e-16,-1.78415e-25,0.000220702,-1.16902e-17,-5.1798e-16,-1.16892e-17,0.000220702
-0.670494,-0.316151,1.6129,-0.668956,-0.316961,1.61131,0.00418836,0.00568974,0.0147448,0.588971,0.000213033,-1.38728e-25,-3.20775e-16,-1.10498e-25,0.000213033,-7.23994e-18,-3.20794e-16,-7.23932e-18,0.000213033
-0.670162,-0.316322,1.61258,-0.668899,-0.316974,1.61133,0.00452053,0.00551844,0.0144173,0.588971,0.000208255,-8.69643e-26,-2.01081e-16,-6.9268e-26,0.000208255,-4.53843e-18,-2.01093e-16,-4.53804e-18,0.000208255
-0.670572,-0.315985,1.61382,-0.67216,-0.31468,1.61864,0.00389899,0.00555492,0.0191114,0.680036,0.000205249,-5.49297e-26,-1.27009e-16,-4.37522e-26,0.000205249,-2.8666e-18,-1.27016e-16,-2.86636e-18,0.000205249
-0.670902,-0.315718,1.61481,-0.672194,-0.314672,1.61866,0.00356907,0.005822,0.0200956,0.680036,0.000203345,-3.48618e-26,-8.06072e-17,-2.77679e-26,0.000203345,-1.81932e-18,-8.0612e-17,-1.81916e-18,0.000203345
-0.671172,-0.31551,1.61558,-0.67224,-0.31469,1.61864,0.00329857,0.00602988,0.0208708,0.680036,0.000202135,-2.21927e-26,-5.13136e-17,-1.76768e-26,0.000202135,-1.15816e-18,-5.13166e-17,-1.15806e-18,0.000202135
