EKF_x,EKF_y,EKF_theta,PM_x,PM_y,PM_theta,errorEKF_x,errorEKF_y,errorEKF_theta,errorPM,EKFCovXX,EKFCovXY,EKFCovXTheta,EKFCovYX,EKFCovYY,EKFCovYTheta,EKFCovThetaX,EKFCovThetaY,EKFCovThetaTheta,counter
-0.633816,-0.495167,1.56369,-0.633816,-0.495167,1.56369,-0.00621631,0.030033,-0.00631011,47.259,0.000999999,-3.31463e-22,1.33403e-14,-3.36845e-22,0.000999999,6.64376e-14,1.33416e-14,6.64471e-14,0.000999999,0
-0.636284,-0.486365,1.55439,-0.638685,-0.477981,1.54554,-0.00868396,0.0388349,-0.0156079,45.5454,0.000512195,2.44932e-15,8.99265e-11,2.44932e-15,0.000512195,1.26536e-08,8.99265e-11,1.26536e-08,0.000512195,0
-0.637802,-0.480167,1.54838,-0.640598,-0.469141,1.5377,-0.0103023,0.0450326,-0.0216158,44.7034,0.000359875,1.16048e-14,2.19925e-10,1.16048e-14,0.000359875,1.63443e-08,2.19925e-10,1.63443e-08,0.000359875,0
-0.638899,-0.475247,1.54368,-0.641736,-0.463204,1.53239,-0.011399,0.0499533,-0.0263203,44.3311,0.000290717,2.32446e-13,2.78761e-09,2.32446e-13,0.000290717,2.02e-08,2.78761e-09,2.02e-08,0.000290717,0
-0.639818,-0.471071,1.53982,-0.642671,-0.458811,1.52847,-0.012418,0.0541288,-0.0301843,44.1362,0.000254131,1.9291e-13,1.784e-09,1.9291e-13,0.000254131,1.98351e-08,1.784e-09,1.98351e-08,0.000254131,0
-0.640712,-0.46716,1.53646,-0.64378,-0.454251,1.52514,-0.0133117,0.0580401,-0.0335445,43.8068,0.000233206,3.36058e-13,3.21861e-09,3.36058e-13,0.000233206,1.75578e-08,3.21861e-09,1.75578e-08,0.000233206,0
-0.64162,-0.463388,1.53326,-0.645063,-0.450106,1.52226,-0.01432,0.0618123,-0.0367392,43.6068,0.000220702,1.03101e-13,3.96914e-10,1.03101e-13,0.000220702,2.01365e-08,3.96914e-10,2.01365e-08,0.000220702,0
-0.64243,-0.459746,1.5304,-0.645568,-0.446239,1.51953,-0.0151302,0.0654537,-0.0396013,43.3852,0.000213033,2.85938e-13,2.26583e-09,2.85938e-13,0.000213033,1.78504e-08,2.26583e-09,1.78504e-08,0.000213033,0
-0.643284,-0.456103,1.52759,-0.646784,-0.442293,1.51722,-0.0160839,0.0690966,-0.0424079,43.3213,0.000208255,6.09372e-14,5.65077e-12,6.09372e-14,0.000208255,2.01312e-08,5.65077e-12,2.01312e-08,0.000208255,0
-0.644174,-0.452561,1.52498,-0.647773,-0.438786,1.51453,-0.0169741,0.0726389,-0.0450245,43.1868,0.000205249,2.62401e-13,1.97688e-09,2.62401e-13,0.000205249,1.78814e-08,1.97688e-09,1.78814e-08,0.000205249,0
-0.645105,-0.449002,1.52236,-0.64896,-0.435047,1.51213,-0.0180051,0.076198,-0.0476356,43.1029,0.000203345,2.41636e-13,1.57194e-09,2.41636e-13,0.000203345,1.82685e-08,1.57194e-09,1.82685e-08,0.000203345,0
-0.646023,-0.445278,1.51983,-0.649905,-0.430512,1.50953,-0.018923,0.079922,-0.050166,42.8473,0.000202135,4.72629e-13,3.1355e-09,4.72629e-13,0.000202135,2.01409e-08,3.1355e-09,2.01409e-08,0.000202135,0
-0.647013,-0.441552,1.51733,-0.651202,-0.426705,1.50769,-0.0200135,0.0836485,-0.0526734,42.7735,0.000201364,6.7745e-13,4.14889e-09,6.7745e-13,0.000201364,2.13177e-08,4.14889e-09,2.13177e-08,0.000201364,0
-0.647912,-0.43737,1.51476,-0.651695,-0.420722,1.50453,-0.0210115,0.08783,-0.055243,42.5937,0.000200872,5.5429e-13,3.01497e-09,5.5429e-13,0.000200872,2.04421e-08,3.01497e-09,2.04421e-08,0.000200872,0
-0.648795,-0.433123,1.51221,-0.652528,-0.416181,1.50205,-0.0218949,0.092077,-0.0577917,42.436,0.000200558,4.58346e-13,2.30927e-09,4.58346e-13,0.000200558,1.98809e-08,2.30927e-09,1.98809e-08,0.000200558,0
-0.649735,-0.428765,1.50965,-0.653698,-0.411359,1.49943,-0.022935,0.0964348,-0.0603516,42.4207,0.000200357,3.86457e-13,1.87594e-09,3.86457e-13,0.000200357,1.95204e-08,1.87594e-09,1.95204e-08,0.000200357,0
-0.650734,-0.424236,1.50698,-0.654939,-0.406129,1.4963,-0.0240345,0.100964,-0.0630247,42.2162,0.000200228,3.3458e-13,1.61638e-09,3.3458e-13,0.000200228,1.92882e-08,1.61638e-09,1.92882e-08,0.000200228,0
-0.651749,-0.419649,1.50438,-0.656064,-0.40125,1.49369,-0.0250488,0.105551,-0.0656199,42.224,0.000200146,5.59671e-13,3.27606e-09,5.59671e-13,0.000200146,2.07293e-08,3.27606e-09,2.07293e-08,0.000200146,0
-0.652775,-0.41487,1.50162,-0.65704,-0.395803,1.49088,-0.0261751,0.11033,-0.0683842,42.1965,0.000200093,2.30269e-13,7.36795e-10,2.30269e-13,0.000200093,1.84731e-08,7.36795e-10,1.84731e-08,0.000200093,0
-0.653821,-0.410213,1.49891,-0.658266,-0.391522,1.48779,-0.0272212,0.114987,-0.0710865,42.2458,0.00020006,4.69093e-13,2.75732e-09,4.69093e-13,0.00020006,2.01944e-08,2.75732e-09,2.01944e-08,0.00020006,0
-0.654933,-0.405824,1.49621,-0.659591,-0.388257,1.48541,-0.0284329,0.119376,-0.0737865,42.2819,0.000200038,4.13541e-13,2.25348e-09,4.13541e-13,0.000200038,1.97137e-08,2.25348e-09,1.97137e-08,0.000200038,0
-0.655955,-0.40159,1.4935,-0.660255,-0.384639,1.48263,-0.0294551,0.12361,-0.0765032,42.2363,0.000200025,3.70732e-13,1.94941e-09,3.70732e-13,0.000200025,1.94048e-08,1.94941e-09,1.94048e-08,0.000200025,0
-0.656969,-0.397644,1.49071,-0.661242,-0.381949,1.4802,-0.0305685,0.127556,-0.0792899,42.0915,0.000200016,-9.06175e-14,-1.61914e-09,-9.06175e-14,0.000200016,1.94689e-08,-1.61914e-09,1.94689e-08,0.000200016,0
-0.657963,-0.394124,1.48829,-0.662145,-0.37992,1.47799,-0.0315633,0.131076,-0.0817061,42.195,0.00020001,4.03931e-13,2.89998e-09,4.03931e-13,0.00020001,1.89734e-08,2.89998e-09,1.89734e-08,0.00020001,0
-0.658866,-0.390746,1.48579,-0.662748,-0.377265,1.47607,-0.0325664,0.134454,-0.0842133,42.2309,0.000200006,1.99883e-13,8.61875e-10,1.99883e-13,0.000200006,2.0763e-08,8.61875e-10,2.0763e-08,0.000200006,0
-0.659717,-0.387749,1.4835,-0.66333,-0.375744,1.47437,-0.0334167,0.137451,-0.0864966,42.194,0.000200004,2.19434e-13,1.12955e-09,2.19434e-13,0.000200004,2.00705e-08,1.12955e-09,2.00705e-08,0.000200004,0
-0.660521,-0.384967,1.48145,-0.663899,-0.373874,1.47292,-0.0343205,0.140233,-0.0885486,42.3417,0.000200003,5.28932e-15,-5.27668e-10,5.28932e-15,0.000200003,1.8079e-08,-5.27668e-10,1.8079e-08,0.000200003,0
-0.66129,-0.382537,1.47941,-0.66463,-0.372742,1.47157,-0.0350904,0.142663,-0.0905888,42.3238,0.000200002,3.10288e-13,2.11706e-09,3.10288e-13,0.000200002,1.98931e-08,2.11706e-09,1.98931e-08,0.000200002,0
-0.661355,-0.393334,1.4792,-0.661823,-0.4365,1.47834,-0.0352546,0.131866,-0.0908034,37.4608,0.000200001,3.16823e-13,1.97609e-09,3.16823e-13,0.000200001,1.951e-08,1.97609e-09,1.951e-08,0.000200001,26
-0.660952,-0.403064,1.48022,-0.659552,-0.441966,1.4843,-0.0349518,0.122136,-0.0897843,36.96,0.000200001,3.17999e-13,1.88733e-09,3.17999e-13,0.000200001,1.92646e-08,1.88733e-09,1.92646e-08,0.000200001,26
-0.660119,-0.411729,1.48203,-0.656998,-0.446373,1.48929,-0.0341187,0.113471,-0.0879698,36.5909,0.0002,3.15848e-13,1.82361e-09,3.15848e-13,0.0002,1.91082e-08,1.82361e-09,1.91082e-08,0.0002,26
-0.659131,-0.419567,1.48452,-0.655391,-0.4509,1.49446,-0.0332307,0.105633,-0.0854847,36.278,0.0002,3.11506e-13,1.77053e-09,3.11506e-13,0.0002,1.90093e-08,1.77053e-09,1.90093e-08,0.0002,26
-0.658012,-0.42666,1.48735,-0.653748,-0.455013,1.4987,-0.0321117,0.0985404,-0.082649,36.0375,0.0002,3.05495e-13,1.71971e-09,3.05495e-13,0.0002,1.89474e-08,1.71971e-09,1.89474e-08,0.0002,26
-0.656811,-0.433066,1.49034,-0.652219,-0.458673,1.50229,-0.0310107,0.0921344,-0.0796624,35.7656,0.0002,2.98229e-13,1.66795e-09,2.98229e-13,0.0002,1.89094e-08,1.66795e-09,1.89094e-08,0.0002,26
-0.655584,-0.43891,1.49355,-0.650888,-0.462274,1.5064,-0.0297837,0.0862897,-0.0764506,35.5657,0.0002,2.90055e-13,1.61456e-09,2.90055e-13,0.0002,1.88868e-08,1.61456e-09,1.88868e-08,0.0002,26
-0.654251,-0.444138,1.49681,-0.649132,-0.465033,1.50986,-0.0285509,0.0810621,-0.0731899,35.4555,0.0002,2.81104e-13,1.5586e-09,2.81104e-13,0.0002,1.8874e-08,1.5586e-09,1.8874e-08,0.0002,26
-0.652952,-0.448863,1.5,-0.647971,-0.467747,1.51277,-0.0272524,0.0763374,-0.0699975,35.178,0.0002,2.7158e-13,1.50065e-09,2.7158e-13,0.0002,1.88675e-08,1.50065e-09,1.88675e-08,0.0002,26
-0.651667,-0.453162,1.50312,-0.64674,-0.470348,1.5156,-0.0260674,0.0720375,-0.0678787,34.5886,0.0002,2.61716e-13,1.44189e-09,2.61716e-13,0.0002,1.8865e-08,1.44189e-09,1.8865e-08,0.0002,26
-0.650474,-0.45707,1.50613,-0.645911,-0.472685,1.51819,-0.0248736,0.0681304,-0.0648655,34.5014,0.0002,2.51683e-13,1.38311e-09,2.51683e-13,0.0002,1.88648e-08,1.38311e-09,1.88648e-08,0.0002,26
-0.649289,-0.460659,1.50905,-0.644761,-0.475004,1.52074,-0.0237885,0.0645412,-0.0619455,34.4238,0.0002,2.41631e-13,1.32502e-09,2.41631e-13,0.0002,1.8866e-08,1.32502e-09,1.8866e-08,0.0002,26
-0.648168,-0.463968,1.51188,-0.643896,-0.477195,1.52318,-0.0226675,0.0612315,-0.0591212,34.2427,0.0002,2.31658e-13,1.26801e-09,2.31658e-13,0.0002,1.88681e-08,1.26801e-09,1.88681e-08,0.0002,26
-0.647011,-0.466989,1.51475,-0.642647,-0.479005,1.52593,-0.021611,0.0582108,-0.0562476,34.2443,0.0002,4.76115e-13,3.01061e-09,4.76115e-13,0.0002,2.04693e-08,3.01061e-09,2.04693e-08,0.0002,26
-0.64596,-0.4697,1.51728,-0.641966,-0.480532,1.52738,-0.0205595,0.0555001,-0.0537214,34.1609,0.0002,4.08879e-13,2.30807e-09,4.08879e-13,0.0002,1.98964e-08,2.30807e-09,1.98964e-08,0.0002,26
-0.645035,-0.472241,1.51973,-0.641547,-0.482393,1.52952,-0.0197345,0.0529595,-0.0512741,34.1672,0.0002,3.50728e-13,1.84128e-09,3.50728e-13,0.0002,1.95307e-08,1.84128e-09,1.95307e-08,0.0002,26
-0.644176,-0.474597,1.52195,-0.640902,-0.484067,1.53117,-0.0188757,0.0506033,-0.0490499,34.0463,0.0002,7.92092e-14,-2.60044e-10,7.92092e-14,0.0002,1.76851e-08,-2.60044e-10,1.76851e-08,0.0002,26
-0.643415,-0.476829,1.52419,-0.640579,-0.485643,1.53314,-0.0182149,0.048371,-0.0468131,33.9694,0.0002,4.85409e-13,3.56526e-09,4.85409e-13,0.0002,1.79509e-08,3.56526e-09,1.79509e-08,0.0002,26
-0.642706,-0.478831,1.52626,-0.640084,-0.486828,1.53455,-0.0175061,0.0463695,-0.0447415,34.0228,0.0002,4.17771e-13,2.59891e-09,4.17771e-13,0.0002,1.8288e-08,2.59891e-09,1.8288e-08,0.0002,26
-0.641979,-0.480698,1.52819,-0.639338,-0.488211,1.53626,-0.016879,0.0445019,-0.0428051,33.2624,0.0002,1.60904e-13,3.42799e-10,1.60904e-13,0.0002,2.02802e-08,3.42799e-10,2.02802e-08,0.0002,26
-0.641314,-0.482437,1.53013,-0.638866,-0.489385,1.53789,-0.016214,0.0427628,-0.040867,33.2515,0.0002,1.4684e-13,5.09282e-10,1.4684e-13,0.0002,1.978e-08,5.09282e-10,1.978e-08,0.0002,26
-0.640695,-0.484082,1.53199,-0.63843,-0.490655,1.53942,-0.0156947,0.0411178,-0.0390106,33.6286,0.0002,1.38705e-13,6.02651e-10,1.38705e-13,0.0002,1.94603e-08,6.02651e-10,1.94603e-08,0.0002,26
-0.640138,-0.485684,1.53382,-0.638071,-0.492141,1.54085,-0.0151378,0.0395156,-0.0371757,32.8445,0.0002,-7.79379e-14,-1.11707e-09,-7.79379e-14,0.0002,1.76218e-08,-1.11707e-09,1.76218e-08,0.0002,26
-0.639666,-0.487269,1.53557,-0.63799,-0.493599,1.54255,-0.0147657,0.0379312,-0.0354316,32.9043,0.0002,-4.18623e-14,-4.63319e-10,-4.18623e-14,0.0002,1.80801e-08,-4.63319e-10,1.80801e-08,0.0002,26
-0.639246,-0.488683,1.53711,-0.637726,-0.494387,1.54361,-0.0143456,0.0365172,-0.0338871,32.8723,0.0002,-1.99508e-13,-1.81695e-09,-1.99508e-13,0.0002,1.67332e-08,-1.81695e-09,1.67332e-08,0.0002,26
-0.638707,-0.48998,1.53859,-0.636817,-0.495109,1.54483,-0.0139071,0.0352198,-0.0324068,32.8242,0.0002,7.33261e-14,8.25094e-10,7.33261e-14,0.0002,1.91554e-08,8.25094e-10,1.91554e-08,0.0002,25
-0.638265,-0.491151,1.54003,-0.636708,-0.495827,1.54578,-0.0134647,0.0340493,-0.0309698,32.8749,0.0002,8.98295e-14,7.47222e-10,8.98295e-14,0.0002,1.90627e-08,7.47222e-10,1.90627e-08,0.0002,25
-0.637819,-0.492327,1.54155,-0.636195,-0.49708,1.5473,-0.0131187,0.0328732,-0.0294519,32.888,0.0002,-1.09504e-13,-1.06604e-09,-1.09504e-13,0.0002,1.7355e-08,-1.06604e-09,1.7355e-08,0.0002,25
-0.637413,-0.493371,1.54283,-0.636002,-0.497542,1.54796,-0.0128128,0.0318289,-0.0281704,32.8788,0.0002,-6.76758e-14,-4.83207e-10,-6.76758e-14,0.0002,1.79111e-08,-4.83207e-10,1.79111e-08,0.0002,25
-0.637053,-0.494348,1.54402,-0.635826,-0.498249,1.5488,-0.0124529,0.0308522,-0.0269756,32.766,0.0002,-2.98725e-14,-1.18914e-10,-2.98725e-14,0.0002,1.82672e-08,-1.18914e-10,1.82672e-08,0.0002,25
-0.63661,-0.495293,1.54508,-0.635102,-0.499014,1.54963,-0.0121098,0.0299071,-0.0259175,32.1163,0.0002,2.32927e-13,1.85341e-09,2.32927e-13,0.0002,2.01508e-08,1.85341e-09,2.01508e-08,0.0002,25
-0.636262,-0.496199,1.54625,-0.635034,-0.499875,1.55062,-0.0117624,0.0290005,-0.0247473,32.5222,0.0002,-1.59209e-14,-3.841e-10,-1.59209e-14,0.0002,1.80435e-08,-3.841e-10,1.80435e-08,0.0002,25
-0.635911,-0.497043,1.54717,-0.634823,-0.500409,1.55147,-0.0115107,0.0281572,-0.0238305,32.1892,0.0002,1.28971e-14,6.36539e-12,1.28971e-14,0.0002,2.17549e-08,6.36539e-12,2.17549e-08,0.0002,25
-0.635624,-0.497875,1.54828,-0.634639,-0.501252,1.5524,-0.0112241,0.0273254,-0.0227209,30.9516,0.0002,-1.89507e-13,-1.57695e-09,-1.89507e-13,0.0002,1.90669e-08,-1.57695e-09,1.90669e-08,0.0002,25
-0.635325,-0.498683,1.5491,-0.634392,-0.50186,1.55269,-0.0110248,0.0265166,-0.0219032,30.0275,0.0002,9.48825e-14,8.84261e-10,9.48825e-14,0.0002,2.06707e-08,8.84261e-10,2.06707e-08,0.0002,25
-0.635031,-0.499494,1.55017,-0.633962,-0.502735,1.55381,-0.010731,0.025706,-0.0208327,29.1226,0.0002,7.20043e-14,6.39233e-10,7.20043e-14,0.0002,1.66318e-08,6.39233e-10,1.66318e-08,0.0002,25
-0.634756,-0.500295,1.5511,-0.633924,-0.503547,1.55513,-0.0105563,0.0249049,-0.0199043,28.3962,0.0002,-1.28459e-13,-1.11604e-09,-1.28459e-13,0.0002,1.91863e-08,-1.11604e-09,1.91863e-08,0.0002,25
-0.634544,-0.501058,1.55196,-0.633908,-0.504104,1.55542,-0.010444,0.0241424,-0.0190397,26.8503,0.0002,-8.63561e-14,-5.80175e-10,-8.63561e-14,0.0002,1.90847e-08,-5.80175e-10,1.90847e-08,0.0002,25
-0.634309,-0.501803,1.55286,-0.63358,-0.504781,1.55646,-0.0102086,0.023397,-0.0181399,25.7712,0.0002,-5.01799e-14,-2.43107e-10,-5.01799e-14,0.0002,1.90198e-08,-2.43107e-10,1.90198e-08,0.0002,25
-0.634058,-0.502486,1.55374,-0.633268,-0.505215,1.55726,-0.010058,0.022714,-0.0172592,25.5508,0.0002,-2.1492e-14,-3.35066e-11,-2.1492e-14,0.0002,1.89783e-08,-3.35066e-11,1.89783e-08,0.0002,25
-0.633849,-0.503149,1.55453,-0.633223,-0.505795,1.55767,-0.0098485,0.0220515,-0.0164724,24.4653,0.0002,5.10264e-17,9.46437e-11,5.10264e-17,0.0002,1.89519e-08,9.46437e-11,1.89519e-08,0.0002,25
-0.633687,-0.503827,1.55514,-0.633202,-0.506488,1.5579,-0.0097874,0.0213725,-0.0158624,23.5253,0.0002,2.02674e-13,1.8455e-09,2.02674e-13,0.0002,1.72058e-08,1.8455e-09,1.72058e-08,0.0002,25
-0.633412,-0.504429,1.55587,-0.632521,-0.506832,1.55882,-0.00951161,0.020771,-0.0151261,23.3876,0.0002,1.78669e-13,1.2877e-09,1.78669e-13,0.0002,1.78177e-08,1.2877e-09,1.78177e-08,0.0002,25
-0.633141,-0.504941,1.55654,-0.632269,-0.506984,1.5592,-0.00934053,0.0202594,-0.0144612,23.5312,0.0002,1.51548e-13,9.25697e-10,1.51548e-13,0.0002,1.82093e-08,9.25697e-10,1.82093e-08,0.0002,25
-0.632898,-0.505478,1.55722,-0.632142,-0.507625,1.55993,-0.00909834,0.0197219,-0.013784,23.2077,0.0002,1.26578e-13,6.8949e-10,1.26578e-13,0.0002,1.84601e-08,6.8949e-10,1.84601e-08,0.0002,25
-0.632692,-0.505996,1.5577,-0.632078,-0.50796,1.56027,-0.00899197,0.0192037,-0.0133011,23.1692,0.0002,5.20269e-13,3.93786e-09,5.20269e-13,0.0002,1.85738e-08,3.93786e-09,1.85738e-08,0.0002,25
